,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/11/2025,CANTIDAD ,0,0,0,0,10,10,,1-nov,CANT. CONTACTOS ,1,2,0,,17-nov,CANT. CONTACTOS ,10,3,0
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   ," S/  5.361,50 "," S/  5.361,50 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,1,0
2/11/2025,CANTIDAD ,0,0,0,2,3,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.282,20","S/.890,80","S/.1.173,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.301,20","S/.160,30","S/.0,00"
3/11/2025,CANTIDAD ,0,0,0,4,1,5,,2-nov,CANT. CONTACTOS ,2,2,0,,18-nov,CANT. CONTACTOS ,15,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.068,80","S/.518,00","S/.1.586,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,1,0
4/11/2025,CANTIDAD ,0,0,0,4,9,13,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.606,00","S/.5.254,00","S/.6.860,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.309,00","S/.434,00","S/.0,00"
5/11/2025,CANTIDAD ,0,0,0,2,6,8,,3-nov,CANT. CONTACTOS ,29,1,0,,19-nov,CANT. CONTACTOS ,14,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.378,80","S/.2.006,70","S/.2.385,50",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,1,0
6/11/2025,CANTIDAD ,0,0,0,2,10,12,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.788,00","S/.2.488,80","S/.3.276,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.291,20","S/.299,60","S/.0,00"
7/11/2025,CANTIDAD ,2,0,0,0,7,9,,4-nov,CANT. CONTACTOS ,21,2,0,,20-nov,CANT. CONTACTOS ,5,0,0
,MONTO ,"S/.471,70","S/.0,00","S/.0,00","S/.0,00","S/.1.815,00","S/.2.286,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
8/11/2025,CANTIDAD ,1,0,0,2,16,19,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.311,40","S/.0,00","S/.0,00","S/.602,00","S/.2.718,60","S/.3.632,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.131,60","S/.0,00","S/.0,00"
9/11/2025,CANTIDAD ,0,0,0,1,7,8,,5-nov,CANT. CONTACTOS ,15,1,0,,21-nov,CANT. CONTACTOS ,9,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.610,80","S/.2.772,00","S/.3.382,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,3,0,0
10/11/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.287,94","S/.1.181,50","S/.1.469,44",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.500,10","S/.0,00","S/.0,00"
11/11/2025,CANTIDAD ,0,0,0,1,3,4,,6-nov,CANT. CONTACTOS ,15,2,0,,22-nov,CANT. CONTACTOS ,6,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.126,80","S/.797,00","S/.923,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
12/11/2025,CANTIDAD ,0,0,0,1,6,7,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.282,20","S/.1.853,30","S/.2.135,50",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/11/2025,CANTIDAD ,2,2,0,4,9,17,,7-nov,CANT. CONTACTOS ,18,2,0,,23-nov,CANT. CONTACTOS ,0,0,0
,MONTO ,"S/.359,10","S/.274,70","S/.0,00","S/.1.305,50","S/.1.741,20","S/.3.680,50",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
14/11/2025,CANTIDAD ,4,0,0,1,7,12,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.571,40","S/.0,00","S/.0,00","S/.237,30","S/.2.719,10","S/.3.527,80",,,MONTO TOTAL,"S/.471,70","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/11/2025,CANTIDAD ,0,0,0,2,11,13,,8-nov,CANT. CONTACTOS ,12,5,0,,24-nov,CANT. CONTACTOS ,12,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.339,70","S/.8.341,70","S/.8.681,40",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
16/11/2025,CANTIDAD ,0,0,0,1,7,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.376,60","S/.2.485,30","S/.2.861,90",,,MONTO TOTAL,"S/.311,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.458,90","S/.0,00","S/.0,00"
17/11/2025,CANTIDAD ,1,1,0,2,8,12,,9-nov,CANT. CONTACTOS ,0,1,0,,25-nov,CANT. CONTACTOS ,10,4,0
,MONTO ,"S/.301,20","S/.160,30","S/.0,00","S/.648,60","S/.2.409,10","S/.3.519,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,1,0
18/11/2025,CANTIDAD ,1,1,0,1,7,10,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.309,00","S/.434,00","S/.0,00","S/.687,70","S/.3.145,80","S/.4.576,50",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.763,50","S/.424,00","S/.0,00"
19/11/2025,CANTIDAD ,1,1,0,1,4,7,,10-nov,CANT. CONTACTOS ,20,6,0,,26-nov,CANT. CONTACTOS ,12,1,0
,MONTO ,"S/.291,20","S/.299,60","S/.0,00","S/.135,20","S/.816,90","S/.1.542,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,1,0
20/11/2025,CANTIDAD ,1,0,0,1,8,10,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.131,60","S/.0,00","S/.0,00","S/.171,60","S/.2.922,70","S/.3.225,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.373,70","S/.230,30","S/.0,00"
21/11/2025,CANTIDAD ,3,0,0,1,8,12,,11-nov,CANT. CONTACTOS ,13,5,0,,27-nov,CANT. CONTACTOS ,13,5,0
,MONTO ,"S/.500,10","S/.0,00","S/.0,00","S/.349,00","S/.2.310,10","S/.3.159,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
22/11/2025,CANTIDAD ,0,0,0,1,12,13,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.147,30","S/.2.747,30","S/.2.894,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.413,80","S/.0,00","S/.0,00"
23/11/2025,CANTIDAD ,0,0,0,2,4,6,,12-nov,CANT. CONTACTOS ,16,1,0,,28-nov,CANT. CONTACTOS ,10,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.277,30","S/.1.915,40","S/.2.192,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
24/11/2025,CANTIDAD ,1,0,0,1,6,8,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.458,90","S/.0,00","S/.0,00","S/.440,60","S/.3.298,60","S/.4.198,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.446,35","S/.0,00","S/.0,00"
25/11/2025,CANTIDAD ,2,1,0,1,4,8,,13-nov,CANT. CONTACTOS ,10,4,0,,29-nov,CANT. CONTACTOS ,21,1,0
,MONTO ,"S/.763,50","S/.424,00","S/.0,00","S/.114,60","S/.826,80","S/.2.128,90",,,CANT. VENTAS ,2,2,0,,,CANT. VENTAS ,2,0,0
26/11/2025,CANTIDAD ,2,1,0,2,9,14,,,TASA DE VENTA ,,,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.373,70","S/.230,30","S/.0,00","S/.743,40","S/.5.539,20","S/.6.886,60",,,MONTO TOTAL,"S/.359,10","S/.274,70","S/.0,00",,,MONTO TOTAL,"S/.162,50","S/.0,00","S/.0,00"
27/11/2025,CANTIDAD ,2,0,0,5,8,15,,14-nov,CANT. CONTACTOS ,13,12,0,,30-nov,CANT. CONTACTOS ,5,1,0
,MONTO ,"S/.413,80","S/.0,00","S/.0,00","S/.997,40","S/.2.690,90","S/.4.102,10",,,CANT. VENTAS ,4,0,0,,,CANT. VENTAS ,0,0,0
28/11/2025,CANTIDAD ,2,0,0,4,11,17,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.446,35","S/.0,00","S/.0,00","S/.2.822,60","S/.2.778,50","S/.6.047,45",,,MONTO TOTAL,"S/.571,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/11/2025,CANTIDAD ,2,0,0,4,11,17,,15-nov,CANT. CONTACTOS ,10,2,0,,,CANT. CONTACTOS ,,,
,MONTO ,"S/.162,50","S/.0,00","S/.0,00","S/.2.353,65","S/.4.304,70","S/.6.820,85",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
30/11/2025,CANTIDAD ,0,0,0,8,5,13,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.2.273,95","S/.1.136,05","S/.3.410,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
,CANTIDAD ,,,,,,0,,16-nov,CANT. CONTACTOS ,0,0,0,,,,,,
,MONTO ,,,,,,"S/.0,00",,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
